,name,company,year,Price,kms_driven,fuel_type
0,Hyundai Santro Xing XO eRLX Euro III,Hyundai,2007,80000.0,45000.0,Petrol
1,Mahindra Jeep CL550 MDI,Mahindra,2006,425000.0,40.0,Diesel
3,Hyundai Grand i10 Magna 1.2 Kappa VTVT,Hyundai,2014,325000.0,28000.0,Petrol
4,Ford EcoSport Titanium 1.5L TDCi,Ford,2014,575000.0,36000.0,Diesel
6,Ford Figo,Ford,2012,175000.0,41000.0,Diesel
7,Hyundai Eon,Hyundai,2013,190000.0,25000.0,Petrol
8,Ford EcoSport Ambiente 1.5L TDCi,Ford,2016,830000.0,24530.0,Diesel
9,Maruti Suzuki Alto K10 VXi AMT,Maruti,2015,250000.0,60000.0,Petrol
10,Skoda Fabia Classic 1.2 MPI,Skoda,2010,182000.0,60000.0,Petrol
11,Maruti Suzuki Stingray VXi,Maruti,2015,315000.0,30000.0,Petrol
12,Hyundai Elite i20 Magna 1.2,Hyundai,2014,415000.0,32000.0,Petrol
13,Mahindra Scorpio SLE BS IV,Mahindra,2015,320000.0,48660.0,Diesel
14,Hyundai Santro Xing XO eRLX Euro III,Hyundai,2007,80000.0,45000.0,Petrol
15,Mahindra Jeep CL550 MDI,Mahindra,2006,425000.0,40.0,Diesel
16,Audi A8,Audi,2017,1000000.0,4000.0,Petrol
17,Audi Q7,Audi,2014,500000.0,16934.0,Diesel
18,Mahindra Scorpio S10,Mahindra,2016,350000.0,43000.0,Diesel
19,Maruti Suzuki Alto 800,Maruti,2014,160000.0,35550.0,Petrol
20,Mahindra Scorpio S10,Mahindra,2016,350000.0,43000.0,Diesel
21,Mahindra Scorpio S10,Mahindra,2016,310000.0,39522.0,Diesel
22,Maruti Suzuki Alto 800 Vxi,Maruti,2015,75000.0,39000.0,Petrol
23,Hyundai i20 Sportz 1.2,Hyundai,2012,100000.0,55000.0,Petrol
24,Hyundai i20 Sportz 1.2,Hyundai,2012,100000.0,55000.0,Petrol
25,Hyundai i20 Sportz 1.2,Hyundai,2012,100000.0,55000.0,Petrol
26,Maruti Suzuki Alto 800 Lx,Maruti,2017,190000.0,72000.0,Petrol
27,Maruti Suzuki Vitara Brezza ZDi,Maruti,2016,290000.0,15975.0,Diesel
28,Maruti Suzuki Alto LX,Maruti,2008,95000.0,70000.0,Petrol
29,Mahindra Bolero DI,Mahindra,2017,180000.0,23452.0,Diesel
30,Maruti Suzuki Swift Dzire ZDi,Maruti,2014,385000.0,35522.0,Diesel
31,Mahindra Scorpio S10 4WD,Mahindra,2015,250000.0,48508.0,Diesel
32,Maruti Suzuki Swift Vdi BSIII,Maruti,2017,180000.0,15487.0,Petrol
33,Maruti Suzuki Wagon R VXi BS III,Maruti,2013,105000.0,39000.0,Petrol
34,Maruti Suzuki Wagon R VXi Minor,Maruti,2013,105000.0,39000.0,Petrol
35,Toyota Innova 2.0 G 8 STR BS IV,Toyota,2012,650000.0,82000.0,Diesel
36,Renault Lodgy 85 PS RXL,Renault,2018,689999.0,20000.0,Diesel
37,Skoda Yeti Ambition 2.0 TDI CR 4x2,Skoda,2012,448000.0,68000.0,Diesel
38,Maruti Suzuki Baleno Delta 1.2,Maruti,2017,549000.0,32000.0,Diesel
39,Renault Duster 110 PS RxZ Diesel Plus,Renault,2012,501000.0,38000.0,Diesel
40,Renault Duster 85 PS RxE Diesel,Renault,2013,489999.0,27000.0,Diesel
41,Honda City 1.5 S MT,Honda,2011,280000.0,33000.0,Petrol
42,Maruti Suzuki Alto K10 VXi AMT,Maruti,2015,250000.0,60000.0,Petrol
43,Maruti Suzuki Dzire,Maruti,2013,349999.0,46000.0,Diesel
44,Honda Amaze,Honda,2013,284999.0,46000.0,Diesel
45,Honda Amaze 1.5 SX i DTEC,Honda,2015,345000.0,36000.0,Diesel
46,Honda City,Honda,2015,499999.0,55000.0,Petrol
47,Datsun Redi GO S,Datsun,2017,235000.0,16000.0,Petrol
48,Maruti Suzuki SX4 ZXI MT,Maruti,2010,249999.0,36000.0,Petrol
49,Mitsubishi Pajero Sport Limited Edition,Mitsubishi,2015,1475000.0,47000.0,Diesel
50,Mahindra Bolero DI,Mahindra,2017,180000.0,23452.0,Diesel
51,Maruti Suzuki Swift Dzire ZDi,Maruti,2014,385000.0,35522.0,Diesel
52,Mahindra Scorpio S10 4WD,Mahindra,2015,250000.0,48508.0,Diesel
53,Maruti Suzuki Swift Vdi BSIII,Maruti,2017,180000.0,15487.0,Petrol
54,Maruti Suzuki Wagon R VXi BS III,Maruti,2013,105000.0,39000.0,Petrol
55,Maruti Suzuki Wagon R VXi Minor,Maruti,2013,105000.0,39000.0,Petrol
56,Mahindra Scorpio S10,Mahindra,2015,395000.0,35000.0,Diesel
57,Maruti Suzuki Swift VXi 1.2 ABS BS IV,Maruti,2017,220000.0,30874.0,Petrol
58,Honda City ZX CVT,Honda,2017,170000.0,15000.0,Diesel
59,Maruti Suzuki Wagon R LX BS IV,Maruti,2013,85000.0,29685.0,Petrol
60,Ford Figo,Ford,2012,175000.0,41000.0,Diesel
61,Hyundai Eon,Hyundai,2013,190000.0,25000.0,Petrol
62,Tata Indigo eCS LS CR4 BS IV,Tata,2017,200000.0,130000.0,Diesel
63,Ford EcoSport Ambiente 1.5L TDCi,Ford,2016,830000.0,24530.0,Diesel
64,Tata Indigo eCS LS CR4 BS IV,Tata,2017,200000.0,130000.0,Diesel
65,Mahindra Scorpio SLE BS IV,Mahindra,2012,570000.0,19000.0,Diesel
66,Volkswagen Polo Highline Exquisite P,Volkswagen,2014,315000.0,60000.0,Petrol
67,Skoda Fabia Classic 1.2 MPI,Skoda,2010,182000.0,60000.0,Petrol
68,Maruti Suzuki Stingray VXi,Maruti,2015,315000.0,30000.0,Petrol
70,Chevrolet Spark LS 1.0,Chevrolet,2010,110000.0,41000.0,Petrol
71,Renault Duster 110PS Diesel RxZ,Renault,2012,501000.0,35000.0,Diesel
72,Honda City,Honda,2015,448999.0,54000.0,Petrol
73,Mini Cooper S 1.6,Mini,2013,1891111.0,13000.0,Petrol
74,Datsun Redi GO S,Datsun,2017,235000.0,16000.0,Petrol
75,Skoda Fabia 1.2L Diesel Ambiente,Skoda,2011,159500.0,38200.0,Diesel
76,Honda Amaze,Honda,2015,344999.0,22000.0,Petrol
77,Honda Amaze,Honda,2015,344999.0,22000.0,Petrol
78,Renault Duster,Renault,2014,449999.0,50000.0,Diesel
79,Mini Cooper S 1.6,Mini,2013,1891111.0,13500.0,Petrol
80,Mahindra Scorpio S4,Mahindra,2015,865000.0,30000.0,Diesel
81,Mahindra Scorpio VLX 2WD BS IV,Mahindra,2014,699000.0,50000.0,Diesel
82,Mahindra Quanto C8,Mahindra,2013,375000.0,20000.0,Diesel
83,Ford EcoSport,Ford,2017,489999.0,39000.0,Petrol
84,Honda Brio,Honda,2012,224999.0,30000.0,Petrol
86,Volkswagen Vento Highline Plus 1.5 Diesel AT,Volkswagen,2019,1200000.0,3600.0,Diesel
87,Hyundai i20 Magna,Hyundai,2009,195000.0,32000.0,Petrol
88,Toyota Corolla Altis Diesel D4DG,Toyota,2010,351000.0,38000.0,Diesel
89,Hyundai Verna Transform SX VTVT,Hyundai,2008,160000.0,45000.0,Petrol
90,Toyota Corolla Altis Petrol Ltd,Toyota,2009,240000.0,35000.0,Petrol
91,Honda City 1.5 EXi New,Honda,2005,90000.0,50000.0,Petrol
92,Hyundai Elite i20 Magna 1.2,Hyundai,2014,415000.0,32000.0,Petrol
93,Skoda Fabia 1.2L Diesel Elegance,Skoda,2011,155000.0,45863.0,Diesel
94,BMW 3 Series 320i,BMW,2011,600000.0,60500.0,Petrol
95,Maruti Suzuki A Star Lxi,Maruti,2011,189500.0,12500.0,Petrol
96,Toyota Etios GD,Toyota,2013,350000.0,60000.0,Diesel
97,Ford Figo Diesel EXI Option,Ford,2012,210000.0,35000.0,Diesel
98,Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2014,390000.0,35000.0,Petrol
99,Chevrolet Beat LT Diesel,Chevrolet,2012,135000.0,45000.0,Diesel
100,BMW 7 Series 740Li Sedan,BMW,2009,1600000.0,35000.0,Petrol
